name,position,team,year,wlink
Norb Hecker,Head Coach,Atlanta Falcons,1966,https://en.wikipedia.com/wiki/Norb_Hecker
Tom Fears,Chief Offensive,Atlanta Falcons,1966,https://en.wikipedia.com/wiki/Tom_Fears
George Dickson,Offensive Backfield,Atlanta Falcons,1966,https://en.wikipedia.com/wiki/George_Dickson
Brad Ecklund,Offensive Line,Atlanta Falcons,1966,https://en.wikipedia.com/wiki/Brad_Ecklund
Hal Herring,Chief Defensive,Atlanta Falcons,1966,https://en.wikipedia.com/wiki/Hal_Herring
John Symank,Defensive Backfield,Atlanta Falcons,1966,https://en.wikipedia.com/wiki/John_Symank
Don Shula,Head Coach,Baltimore Colts,1966,https://en.wikipedia.com/wiki/Don_Shula
Dick Bielski,Receivers/Offensive Ends,Baltimore Colts,1966,https://en.wikipedia.com/wiki/Dick_Bielski
Don McCafferty,Offensive Backs,Baltimore Colts,1966,https://en.wikipedia.com/wiki/Don_McCafferty
John Sandusky,Offensive Line Coach,Baltimore Colts,1966,https://en.wikipedia.com/wiki/John_Sandusky
Chuck Noll,Defensive Backfield,Baltimore Colts,1966,https://en.wikipedia.com/wiki/Chuck_Noll
Don Shula,Linebackers Coach,Baltimore Colts,1966,
Mike Holovak,Head Coach,Boston Patriots,1966,https://en.wikipedia.com/wiki/Mike_Holovak
Art Spinney,Offensive Line,Boston Patriots,1966,https://en.wikipedia.com/wiki/Art_Spinney
Jesse Richardson,Defensive Line,Boston Patriots,1966,https://en.wikipedia.com/w/index.php?title=Jesse_Richardson&amp;action=edit&amp;redlink=1
Rommie Loudd,Linebackers,Boston Patriots,1966,https://en.wikipedia.com/wiki/Rommie_Loudd
Chuck Weber,Defensive Backfield/Defensive Line,Boston Patriots,1966,https://en.wikipedia.com/wiki/Chuck_Weber
Joe Collier,Head Coach,Buffalo Bills,1966,https://en.wikipedia.com/wiki/Joe_Collier
John Mazur,Running Backs/Wide Receivers,Buffalo Bills,1966,https://en.wikipedia.com/wiki/John_Mazur
Jerry Smith,Offensive Line,Buffalo Bills,1966,https://en.wikipedia.com/wiki/Jerry_Smith_(coach)
Richie McCabe,Linebackers/Defensive Backs,Buffalo Bills,1966,https://en.wikipedia.com/wiki/Dick_McCabe_(American_football)
Blanton Collier,Head Coach,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Blanton_Collier
Dub Jones,Quarterbacks/Running Backs,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Dub_Jones_(American_football)
Fritz Heisler,Offensive Guards,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Fritz_Heisler
Ed Ulinski,Offensive Tackles,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Ed_Ulinski
Bob Nussbaumer,Offensive Backfield And Ends,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Bob_Nussbaumer
Nick Skorich,Defensive Line,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Nick_Skorich
Ed Ulinski,Linebackers,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Ed_Ulinski
Leo Murphy,Athletic Trainer,Cleveland Browns,1966,https://en.wikipedia.com/wiki/Leo_Murphy
Mac Speedie,Head Coach,Denver Broncos,1966,https://en.wikipedia.com/wiki/Mac_Speedie
Doak Walker,Special Assignments,Denver Broncos,1966,https://en.wikipedia.com/wiki/Doak_Walker
Bob Griffin,Assistant,Denver Broncos,1966,https://en.wikipedia.com/wiki/Bob_Griffin_(American_football_coach)
Bus Mertes,Offensive Backs,Denver Broncos,1966,https://en.wikipedia.com/wiki/Bus_Mertes
Ray Malavasi,Offensive Line,Denver Broncos,1966,https://en.wikipedia.com/wiki/Ray_Malavasi
Dale Dodrill,Defensive Line,Denver Broncos,1966,https://en.wikipedia.com/wiki/Dale_Dodrill
Marv Matuszak,Defensive Backfield,Denver Broncos,1966,https://en.wikipedia.com/wiki/Marv_Matuszak
George Wilson,Head Coach,Miami Dolphins,1966,https://en.wikipedia.com/wiki/George_Wilson_(American_football_coach)
John Idzik,Offensive Backs,Miami Dolphins,1966,https://en.wikipedia.com/wiki/John_Idzik
Bobby Walston,Receivers,Miami Dolphins,1966,https://en.wikipedia.com/wiki/Bobby_Walston
Ernie Hefferle,Offensive Line,Miami Dolphins,1966,https://en.wikipedia.com/wiki/Ernie_Hefferle
Les Bingaman,Defensive Line,Miami Dolphins,1966,https://en.wikipedia.com/wiki/Les_Bingaman
Bob Pellegrini,Linebackers,Miami Dolphins,1966,https://en.wikipedia.com/wiki/Bob_Pellegrini
Tom Keane,Defensive Backs,Miami Dolphins,1966,https://en.wikipedia.com/wiki/Tom_Keane
Bobby Walston,Kicking,Miami Dolphins,1966,
Norb Hecker,Head Coach,Atlanta Falcons,1967,https://en.wikipedia.com/wiki/Norb_Hecker
Bill Crutchfield,Offensive Backfield,Atlanta Falcons,1967,
Lew Carpenter,Receivers,Atlanta Falcons,1967,https://en.wikipedia.com/wiki/Lew_Carpenter
Brad Ecklund,Offensive Line,Atlanta Falcons,1967,https://en.wikipedia.com/wiki/Brad_Ecklund
Bob Fry,Assistant Offensive Line,Atlanta Falcons,1967,https://en.wikipedia.com/wiki/Bob_Fry
Hal Herring,Chief Defensive,Atlanta Falcons,1967,https://en.wikipedia.com/wiki/Hal_Herring
John Symank,Defensive Backfield,Atlanta Falcons,1967,https://en.wikipedia.com/wiki/John_Symank
Don Shula,Head Coach,Baltimore Colts,1967,https://en.wikipedia.com/wiki/Don_Shula
Dick Bielski,Receivers/Offensive Ends,Baltimore Colts,1967,https://en.wikipedia.com/wiki/Dick_Bielski
Don McCafferty,Offensive Backs,Baltimore Colts,1967,https://en.wikipedia.com/wiki/Don_McCafferty
John Sandusky,Offensive Line Coach,Baltimore Colts,1967,https://en.wikipedia.com/wiki/John_Sandusky
Chuck Noll,Defensive Backfield,Baltimore Colts,1967,https://en.wikipedia.com/wiki/Chuck_Noll
Don Shula,Linebackers Coach,Baltimore Colts,1967,
Mike Holovak,Head Coach,Boston Patriots,1967,https://en.wikipedia.com/wiki/Mike_Holovak
Art Spinney,Offensive Line,Boston Patriots,1967,https://en.wikipedia.com/wiki/Art_Spinney
Jesse Richardson,Defensive Line,Boston Patriots,1967,https://en.wikipedia.com/w/index.php?title=Jesse_Richardson&amp;action=edit&amp;redlink=1
Rommie Loudd,Linebackers,Boston Patriots,1967,https://en.wikipedia.com/wiki/Rommie_Loudd
Chuck Weber,Defensive Backfield/Defensive Line,Boston Patriots,1967,https://en.wikipedia.com/wiki/Chuck_Weber
Joe Collier,Head Coach,Buffalo Bills,1967,https://en.wikipedia.com/wiki/Joe_Collier
John Mazur,Running Backs/Wide Receivers,Buffalo Bills,1967,https://en.wikipedia.com/wiki/John_Mazur
Jerry Smith,Offensive Line,Buffalo Bills,1967,https://en.wikipedia.com/wiki/Jerry_Smith_(coach)
Richie McCabe,Linebackers/Defensive Backs,Buffalo Bills,1967,https://en.wikipedia.com/wiki/Dick_McCabe_(American_football)
Blanton Collier,Head Coach,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Blanton_Collier
Dub Jones,Quarterbacks/Running Backs,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Dub_Jones_(American_football)
Fritz Heisler,Offensive Guards,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Fritz_Heisler
Ed Ulinski,Offensive Tackles,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Ed_Ulinski
Bob Nussbaumer,Offensive Backfield And Ends,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Bob_Nussbaumer
Nick Skorich,Defensive Line,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Nick_Skorich
Ed Ulinski,Linebackers,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Ed_Ulinski
Leo Murphy,Athletic Trainer,Cleveland Browns,1967,https://en.wikipedia.com/wiki/Leo_Murphy
Lou Saban,Head Coach,Denver Broncos,1967,https://en.wikipedia.com/wiki/Lou_Saban
Hunter Enis,Offensive Backs,Denver Broncos,1967,https://en.wikipedia.com/wiki/Hunter_Enis
Sam Rutigliano,Wide Receivers,Denver Broncos,1967,https://en.wikipedia.com/wiki/Sam_Rutigliano
